comp1_c0_seq1	GO:0009507, GO:0016020
comp1870_c0_seq1	GO:0000913, GO:0007155, GO:0000226, GO:0010090, GO:0048765, GO:0009524, GO:0005634, GO:0019888, GO:0030865, GO:0005813, GO:0009826, GO:0005509, GO:0045010, GO:0050790, GO:0005819, GO:0071555
comp1873_c0_seq1	GO:0005524, GO:0006085, GO:0016829, GO:0042709, GO:0009346, GO:0019643, GO:0006623, GO:0004775
comp1875_c0_seq1	GO:0005524, GO:0004672, GO:0006468
comp1877_c0_seq1	GO:0005524, GO:0031098, GO:0005739, GO:0032147, GO:0042981, GO:0009069, GO:0004674, GO:0023014, GO:0007346
comp1880_c0_seq1	
comp1881_c0_seq1	GO:0000815, GO:0009644, GO:0007034, GO:0005771, GO:0042542, GO:0010200, GO:0048193
comp1883_c0_seq1	GO:0005515
comp1884_c0_seq1	GO:0006627, GO:0004252, GO:0006465, GO:0033108, GO:0042720
comp1887_c0_seq1	GO:0000166, GO:0003676, GO:0006397
comp1889_c0_seq1	GO:0005750, GO:0006122
comp1890_c0_seq1	GO:0003677, GO:0005667, GO:0003713, GO:0045893
comp1892_c0_seq1	GO:0005956, GO:0045859, GO:0019887
comp1893_c0_seq1	
comp1894_c0_seq1	GO:0004722, GO:0008287, GO:0006470
comp1895_c0_seq1	GO:0004842, GO:0005515, GO:0016567
comp1896_c0_seq1	GO:0009506, GO:0008152, GO:0016021, GO:0016740
comp1898_c0_seq1	GO:0016192, GO:0006623, GO:0005622
comp1900_c0_seq1	GO:0003735, GO:0042254, GO:0022625, GO:0006412
comp1902_c0_seq1	
comp1903_c0_seq1	GO:0016788, GO:0048046, GO:0008152
comp1906_c0_seq1	GO:0010440, GO:0009574, GO:0008353, GO:0009793, GO:0008284, GO:0040020, GO:0008356, GO:0009555, GO:0042023, GO:0007067, GO:0004693, GO:0009069, GO:0045736, GO:0005886, GO:0006995, GO:0005524, GO:0051726, GO:0005829, GO:0010005, GO:0010048
comp1907_c0_seq1	GO:0005524, GO:0006206, GO:0044210, GO:0006541, GO:0005829, GO:0000478, GO:0003883
comp1908_c0_seq1	GO:0015979, GO:0009538, GO:0009535
comp1909_c0_seq1	GO:0005524
comp1910_c0_seq1	
comp1911_c0_seq1	GO:0005634, GO:0008270
comp1912_c0_seq1	GO:0005524
comp1913_c0_seq1	GO:0005515
comp1915_c0_seq1	GO:0048040, GO:0005982, GO:0005985, GO:0009117
comp1917_c0_seq1	GO:0003677, GO:0005736, GO:0001054, GO:0032549, GO:0005737, GO:0006360, GO:0016021
comp1918_c0_seq1	GO:0000287, GO:0005524, GO:0009156, GO:0006098, GO:0009165, GO:0004749, GO:0006486, GO:0006783, GO:0016310, GO:0006144, GO:0016301
comp1920_c0_seq1	GO:0003743, GO:0001731, GO:0016282, GO:0043022, GO:0005829, GO:0006364, GO:0033290, GO:0006446, GO:0005840, GO:0005852
comp1921_c0_seq1	GO:0005634, GO:0005667, GO:0003700, GO:0006355, GO:0043565, GO:0006355
comp1922_c0_seq1	GO:0005634
comp1923_c0_seq1	GO:0016829, GO:0004650, GO:0071555, GO:0005576, GO:0005982, GO:0005985
comp1924_c0_seq1	GO:0051510, GO:0043161, GO:0009793, GO:0042023, GO:0016310, GO:0042752, GO:0043248, GO:0016301, GO:0051788
comp1925_c0_seq1	GO:0006913, GO:1902582, GO:0006807, GO:0010467, GO:0033036, GO:0044763, GO:0044238, GO:0044237, GO:0050789, GO:0050896, GO:0005643, GO:0071702
comp1926_c0_seq1	GO:0003743, GO:0007275, GO:0005840, GO:0006446
comp1927_c0_seq1	GO:0016020, GO:0016021
comp1928_c0_seq1	GO:0005634, GO:0005524, GO:0061630, GO:0031625, GO:0009737, GO:0005737, GO:0009793, GO:0016925, GO:0016874, GO:0019789
comp1929_c0_seq1	GO:0000023, GO:0019252, GO:0006508, GO:0009534, GO:0009941, GO:0004252, GO:0009840
comp1930_c0_seq1	GO:0001056, GO:0003677, GO:0005736, GO:0001055, GO:0001054, GO:0006383, GO:0006360, GO:0006366, GO:0005666, GO:0005665
comp1931_c0_seq1	GO:0005689, GO:0003723, GO:0071013, GO:0097526, GO:0019013, GO:0071004, GO:1990726, GO:0005688, GO:0005732, GO:0000398
comp1933_c0_seq1	GO:0005524, GO:0016021, GO:0009069, GO:0004674, GO:0006468
comp1934_c0_seq1	GO:0006559, GO:0006570, GO:0005737, GO:0045548, GO:0009800, GO:0009821
comp1935_c0_seq1	GO:0030170, GO:0008117, GO:0080129, GO:0006687, GO:0006635, GO:0006888, GO:0043161, GO:0009407, GO:0005737, GO:0016021, GO:0030149, GO:0016831, GO:0051788
comp1936_c0_seq1	GO:0005524, GO:0008152, GO:0008568
comp1937_c0_seq1	GO:0005515
comp1939_c0_seq1	GO:0009707, GO:0046481, GO:0008654, GO:0043661, GO:1901135, GO:0008299, GO:0046148, GO:0006950, GO:0009877, GO:0032787
comp1940_c0_seq1	GO:0003723, GO:0046872, GO:0006396
comp1941_c0_seq1	GO:0006376, GO:0003729, GO:0071004, GO:0005685
comp1942_c0_seq1	GO:0009570, GO:0003735, GO:0022627, GO:0009534, GO:0009941, GO:0042254, GO:0000312, GO:0032544
comp1943_c0_seq1	GO:0005524, GO:0006094, GO:0009507, GO:0004618, GO:0006096, GO:0019253, GO:0015976
comp1946_c0_seq1	GO:0009790, GO:0009507, GO:0005978, GO:0003844, GO:0019252, GO:0009501, GO:0043169, GO:0004553, GO:0005985
comp1948_c0_seq1	GO:0016020, GO:0016021
comp1949_c0_seq1	GO:0009507, GO:0003735, GO:0006098, GO:0042254, GO:0005840, GO:0006412
comp1950_c0_seq1	GO:0045893, GO:0000956, GO:0005681, GO:0010228, GO:0005730, GO:0042752, GO:0006499, GO:0000398
comp1953_c0_seq1	GO:0005509, GO:0005739, GO:0016021
comp1954_c0_seq1	GO:0003677, GO:0005667, GO:0003700, GO:0006355, GO:0006355
comp1955_c0_seq1	GO:0000275, GO:0006119, GO:0009853, GO:0046961, GO:0015986, GO:0046933
comp1956_c0_seq1	GO:0005623, GO:0003756, GO:0008152, GO:0045454, GO:0006457, GO:0034976
comp1958_c0_seq1	GO:0003843, GO:0006075, GO:0016021, GO:0000148, GO:0005982, GO:0005985
comp1959_c0_seq1	GO:0016020
comp1960_c0_seq1	GO:0009570, GO:0005634, GO:0003723, GO:0003735, GO:0042254, GO:0015935, GO:0045036, GO:0042742, GO:0009535, GO:0006412
comp1963_c0_seq1	
comp1964_c0_seq1	GO:0006096, GO:0009853, GO:0046686, GO:0009060, GO:0009536, GO:0080129, GO:0005753, GO:0006511, GO:0051788
comp1967_c0_seq1	GO:0008152, GO:0031410, GO:0016787
comp1968_c0_seq1	GO:0004506, GO:0050660, GO:0016021, GO:0031410, GO:0055114, GO:0006694, GO:0016114, GO:0009536
comp1970_c0_seq1	GO:0005789, GO:0016021
comp1971_c0_seq1	GO:0005515, GO:0016021
comp1972_c0_seq1	GO:0005634, GO:0005524, GO:0003723, GO:0010501, GO:0004004
comp1973_c0_seq1	GO:0005488, GO:0044699
comp1975_c0_seq1	GO:0005975, GO:0030246, GO:0016853
comp1976_c0_seq1	GO:0006888, GO:0005515, GO:0006890, GO:0005739, GO:0008152, GO:0005198, GO:0006891, GO:0016740, GO:0006886, GO:0030126
comp1977_c0_seq1	
comp1978_c0_seq1	
comp1980_c0_seq1	GO:0046914, GO:0043231
comp1982_c0_seq1	GO:0009097, GO:0005634, GO:0006094, GO:0006086, GO:0045254, GO:0004739, GO:0009099, GO:0006096, GO:0009098, GO:0005829, GO:0055114
comp1983_c0_seq1	GO:0016628, GO:0016020, GO:0031410
comp1984_c0_seq1	GO:0006814, GO:0015992, GO:0006120, GO:0008137, GO:0006744, GO:0005743
comp1985_c0_seq1	GO:0006508, GO:0004185
comp1986_c0_seq1	GO:0005758, GO:0006118, GO:0046872, GO:0009055, GO:0006123, GO:0006122, GO:0070469, GO:0020037
comp1987_c0_seq1	GO:0034968, GO:0009640, GO:0009909, GO:0009220, GO:0005739, GO:0000338
comp1988_c0_seq1	GO:0043161, GO:0000502
comp1990_c0_seq1	GO:0009097, GO:0006094, GO:0006086, GO:0009750, GO:0009099, GO:0006096, GO:0009098, GO:0046686, GO:0005730, GO:0005774, GO:0009744, GO:0009749, GO:0045254, GO:0004739, GO:0048046, GO:0009060, GO:0019722
comp1992_c0_seq1	GO:0048583, GO:1903506
comp1993_c0_seq1	GO:0016021, GO:0008757, GO:0032259
comp1995_c0_seq1	GO:0005739, GO:0005886
comp1996_c0_seq1	GO:0005524, GO:0005516, GO:0009738, GO:0005737, GO:0005509, GO:0046777, GO:0004683, GO:0009069, GO:0018105, GO:0005886, GO:0035556, GO:0009931
comp1997_c0_seq1	GO:0030170, GO:0005739, GO:0009333, GO:0004124, GO:0016740, GO:0006535
comp1998_c0_seq1	GO:0008152, GO:0016787
comp1999_c0_seq1	GO:0005515
comp2001_c0_seq1	GO:0016020, GO:0016021
comp2004_c0_seq1	
comp2005_c0_seq1	GO:0005515, GO:0005886, GO:0006499
comp2008_c0_seq1	GO:0010162, GO:0019915, GO:0009793, GO:0010182, GO:0009933, GO:0000398, GO:0003723, GO:0009909, GO:0045694, GO:0045893, GO:0016571, GO:0005829, GO:0016579, GO:0010074, GO:0008270, GO:0009640, GO:0005681, GO:0000741, GO:0009845, GO:0006312, GO:0006406, GO:0050826, GO:0010228, GO:0000338, GO:0016567
comp2011_c0_seq1	GO:0005509
comp2013_c0_seq1	GO:0005667, GO:0003700, GO:0006355, GO:0043565, GO:0006355, GO:0044699
comp2014_c0_seq1	GO:0000166, GO:0003676
comp2015_c0_seq1	GO:0008270, GO:0016021, GO:0016760, GO:0030244, GO:0006011, GO:0071555, GO:0005982, GO:0005886, GO:0005985
comp2017_c0_seq1	GO:0045430, GO:0009813
comp2018_c0_seq1	GO:0008270, GO:0005515
comp2019_c0_seq1	GO:0016021, GO:0006465, GO:0008233
comp2022_c0_seq1	GO:0005829
comp2023_c0_seq1	GO:0003676, GO:0005524, GO:0010501, GO:0004004
comp2024_c0_seq1	GO:0009570, GO:0044391, GO:0003735, GO:0009534, GO:0042254, GO:0006412
comp2025_c0_seq1	GO:0016020
comp2026_c0_seq1	GO:0000243, GO:0000166, GO:1903241, GO:0089701, GO:0030628, GO:0008187, GO:0016607, GO:0071004
comp2030_c0_seq1	GO:0003677, GO:0006338, GO:0006260, GO:0007059, GO:0003917, GO:0031298, GO:0003918, GO:0006265, GO:0005730
comp2032_c0_seq1	GO:0004427, GO:0015992, GO:0055085, GO:0006119, GO:0016021, GO:0005773, GO:0009678
comp2033_c0_seq1	GO:0005634, GO:0004127, GO:0005524, GO:0009041, GO:0009173, GO:0046939, GO:0006207, GO:0048046, GO:0005829, GO:0006221
comp2034_c0_seq1	GO:0016020, GO:0005829, GO:0012505
comp2036_c0_seq1	GO:0006570, GO:0018800, GO:0016787
comp2037_c0_seq1	GO:0016021
comp2039_c0_seq1	GO:0016021
comp2040_c0_seq1	GO:0016021
comp2041_c0_seq1	GO:0003743, GO:0005840, GO:0006446
comp2042_c0_seq1	GO:0009941, GO:0004252, GO:0042793, GO:0009840, GO:0006364, GO:0009535, GO:0009902, GO:0010207, GO:0045893, GO:0048510, GO:0006508, GO:0010027, GO:0019288, GO:0035304
comp2045_c0_seq1	GO:0005975, GO:0009507, GO:0006098, GO:0017057
comp2046_c0_seq1	GO:0016021, GO:0009535
comp2047_c0_seq1	GO:0001666, GO:0019375, GO:0016157, GO:0010431, GO:0005982, GO:0005985
comp2048_c0_seq1	GO:0009507, GO:0016021
comp2049_c0_seq1	GO:0003723
comp2051_c0_seq1	GO:0016021
comp2052_c0_seq1	GO:0005524, GO:0005516, GO:0009738, GO:0005737, GO:0046777, GO:0004683, GO:0009069, GO:0018105, GO:0005886, GO:0035556, GO:0009931
comp2057_c0_seq1	GO:0080008
comp2058_c0_seq1	GO:0098869, GO:0055114, GO:0051920
comp2059_c0_seq1	GO:0005634, GO:0016021
comp2063_c0_seq1	GO:0070838, GO:0016021, GO:0030003, GO:0009535
comp2064_c0_seq1	GO:0006803, GO:0005515, GO:0005737, GO:0006749, GO:0004364
comp2065_c0_seq1	GO:0031361, GO:0045038, GO:0009977, GO:0009306, GO:0005886, GO:0009535, GO:0043953
comp2066_c0_seq1	
comp2067_c0_seq1	GO:0016569, GO:0044707, GO:0048856, GO:1902589, GO:0031047, GO:0006342, GO:0043412, GO:0044767
comp2068_c0_seq1	GO:0015995, GO:0009507, GO:0030170, GO:0042802, GO:0008483, GO:0042286, GO:0006782
comp2069_c0_seq1	GO:0009570, GO:0003735, GO:0009941, GO:0003729, GO:0042254, GO:0045036, GO:0022625, GO:0009579, GO:0006412
comp2070_c0_seq1	GO:0003723, GO:0046872
comp2072_c0_seq1	GO:0009927, GO:0070838, GO:0042803, GO:0045254, GO:0007165, GO:0046777, GO:0004740, GO:0030003
comp2074_c0_seq1	
comp2075_c0_seq1	GO:0005524, GO:0008152, GO:0016874
comp2076_c0_seq1	GO:0009062, GO:0016508, GO:0007031, GO:0006552, GO:0006574, GO:0006550, GO:0005730, GO:0006633, GO:0006568, GO:0080129, GO:0006554, GO:0043161, GO:0009506, GO:0009407, GO:0003857, GO:0005618, GO:0055114, GO:0018874, GO:0051788
comp2077_c0_seq1	GO:0002238, GO:0008152, GO:0006623, GO:0005622, GO:0005886, GO:0006950, GO:0016787
comp2080_c0_seq1	GO:0005515
comp2081_c0_seq1	GO:0009522, GO:0015979, GO:0016168
comp2082_c0_seq1	GO:0005634, GO:0090306, GO:0007126
comp2085_c0_seq1	GO:0005524, GO:0009507, GO:0005516, GO:0009738, GO:0005509, GO:0046777, GO:0004683, GO:0009069, GO:0018105, GO:0005886, GO:0035556, GO:0009931
comp2087_c0_seq1	GO:0005789
comp2088_c0_seq1	
comp2089_c0_seq1	GO:0008308, GO:1903959, GO:0005741
comp2090_c0_seq1	GO:0016021, GO:0006810, GO:0005215
comp2092_c0_seq1	GO:0000166, GO:0003723, GO:0005737
comp2093_c0_seq1	GO:0005739, GO:0016020, GO:0016021
comp2096_c0_seq1	GO:0009570
comp2097_c0_seq1	
comp2098_c0_seq1	GO:0000166, GO:0003676, GO:0008150, GO:0030529, GO:0019013
comp2099_c0_seq1	GO:0000166, GO:0003676
comp2100_c0_seq1	GO:0009570, GO:0005524, GO:0000053, GO:0006526, GO:0006560, GO:0000050, GO:0009165, GO:0006531, GO:0004055, GO:0006567, GO:0006522
comp2101_c0_seq1	GO:0005634, GO:0003677
comp2102_c0_seq1	GO:0030091, GO:0006979, GO:0006464, GO:0008113, GO:0055114
comp2103_c0_seq1	GO:0009570, GO:0006508, GO:0009941, GO:0008233, GO:0009579
comp2104_c0_seq1	GO:0006448, GO:0003746, GO:0016021, GO:0005840
comp2105_c1_seq1	GO:0022904, GO:0016021, GO:0005886
comp2106_c0_seq1	GO:0005744, GO:0031305, GO:0015266, GO:0030150, GO:0015450, GO:0009941
comp2110_c0_seq1	GO:0009570, GO:0003735, GO:0005739, GO:0009941, GO:0019288, GO:0042254, GO:0005840, GO:0032544
comp2111_c0_seq1	GO:0003735, GO:0003729, GO:0042254, GO:0022625, GO:0006412
comp2112_c0_seq1	GO:0097159, GO:1901363
comp2113_c0_seq1	GO:0007165, GO:0043666, GO:0000159, GO:0005488, GO:0019888
comp2114_c0_seq1	GO:0016779, GO:0008152, GO:0000911, GO:0000226
comp2115_c0_seq1	GO:0016579, GO:0046872, GO:0036459
comp2117_c0_seq1	GO:0003676, GO:0005634, GO:0008270, GO:0051604
comp2118_c0_seq1	GO:0071949, GO:0015995, GO:0016628, GO:0008033, GO:0045550, GO:0015979, GO:0055114
comp2119_c0_seq1	GO:0016491, GO:0006629, GO:0016021, GO:0055114
comp2120_c0_seq1	
comp2123_c0_seq1	GO:0005802, GO:0005768, GO:0016021, GO:0008757, GO:0032259
comp2124_c0_seq1	GO:0005525, GO:0003743, GO:0001731, GO:0003924, GO:0005840, GO:0006446
comp2125_c0_seq1	GO:0016021, GO:0031410
comp2126_c0_seq1	GO:0005802, GO:0005768, GO:0015098, GO:0016021, GO:0005886, GO:0015689
comp2127_c0_seq1	GO:0000166, GO:0003743, GO:0008270, GO:0001731, GO:0016282, GO:0033290, GO:0006446, GO:0005840, GO:0005852
comp2128_c0_seq1	GO:0045490, GO:0046872, GO:0030570, GO:0016021, GO:0031410
comp2130_c0_seq1	GO:0016021, GO:0006465, GO:0031410, GO:0008233, GO:0005787
comp2131_c0_seq1	
comp2132_c0_seq1	GO:0008270, GO:0016491, GO:0005829, GO:0055114
comp2133_c0_seq1	GO:0008270, GO:0005622
comp2134_c0_seq1	GO:0008150, GO:0003674
comp2136_c0_seq1	GO:0016021, GO:0005794, GO:0031410, GO:0030244, GO:0006007, GO:0048193
comp2137_c0_seq1	GO:0005802, GO:0009507, GO:0005768, GO:0015098, GO:0006084, GO:0016021, GO:0016132, GO:0005774, GO:0015689, GO:0016126
comp2139_c0_seq1	GO:0008270
comp2140_c0_seq1	GO:0008171, GO:0032259
comp2144_c0_seq1	GO:0005634, GO:0005524, GO:0009738, GO:0005737, GO:0009069, GO:0004674, GO:0006468, GO:0042742, GO:0035556
comp2145_c0_seq1	GO:0005524, GO:0042548, GO:0009069, GO:0004674, GO:0006468, GO:0015996
comp2146_c0_seq1	GO:0009570, GO:0005524, GO:0006094, GO:0003987, GO:0016208, GO:0007010, GO:0006096, GO:0005829, GO:0019643, GO:0031348, GO:0019427, GO:0010498
comp2147_c0_seq1	GO:0046872, GO:0030001
comp2148_c0_seq1	GO:0044424
comp2149_c0_seq1	GO:0043900, GO:0010363, GO:0009595, GO:0009697, GO:0009637, GO:0009535, GO:0005524, GO:0000165, GO:0010218, GO:0010319, GO:0048046, GO:0019684, GO:0010310, GO:0050832, GO:0010155, GO:0010114, GO:0010150, GO:0009941, GO:0009644, GO:0009862, GO:0043531, GO:0046863, GO:0006612, GO:0009867, GO:0009744, GO:0005634, GO:0043085, GO:0005618, GO:0010200, GO:0031348
comp2151_c0_seq1	GO:0016117, GO:0016767, GO:0031969, GO:0016021, GO:0006694, GO:0016102
comp2152_c0_seq1	GO:0006627, GO:0008270, GO:0004222, GO:0005743
comp2153_c0_seq1	GO:0005524, GO:0008540, GO:0031597, GO:0031595, GO:0008233, GO:0017025, GO:0030433, GO:1901800, GO:0036402, GO:0045899
comp2154_c0_seq1	GO:0005975, GO:0003824
comp2156_c0_seq1	GO:0009570, GO:0015995, GO:0009073, GO:0022626, GO:0009651, GO:0009695, GO:0009697, GO:0000413, GO:0009637, GO:0006546, GO:0006766, GO:0009535, GO:0009117, GO:0006979, GO:0009409, GO:0031977, GO:0006636, GO:0010218, GO:0045893, GO:0048046, GO:0019344, GO:0010555, GO:0019288, GO:0019684, GO:0010155, GO:0010114, GO:0019748, GO:0007165, GO:0009941, GO:0009644, GO:0045036, GO:0006457, GO:0006733, GO:0009108, GO:0009965, GO:0009106, GO:0009744, GO:0003755, GO:0009814, GO:0030154
comp2157_c0_seq1	GO:0005789, GO:0016021
comp2158_c0_seq1	
comp2159_c0_seq1	GO:0000166, GO:0005634, GO:0003723, GO:0006397
comp2161_c0_seq1	GO:0003743, GO:0005840, GO:0006446
comp2163_c0_seq1	GO:0000166, GO:0003676, GO:0008380, GO:0005829, GO:0005730
comp2165_c0_seq1	GO:0005515
comp2167_c0_seq1	
comp2169_c0_seq1	GO:0005739, GO:0016021, GO:0046786
comp2170_c0_seq1	GO:0008284, GO:0009560
comp2171_c0_seq1	
comp2172_c0_seq1	GO:0016021, GO:0006694, GO:0004310, GO:0016114, GO:0051996
comp2173_c0_seq1	GO:0003676, GO:0005524, GO:0005515, GO:0005739, GO:0010501, GO:0004004
comp2174_c0_seq1	GO:0004535, GO:0090503, GO:0004519, GO:0051252
comp2175_c0_seq1	GO:0003968, GO:0001172, GO:0005829, GO:0006144, GO:0031379
comp2176_c0_seq1	GO:0006624, GO:0005739, GO:0004197, GO:0031410, GO:0005773, GO:0051603
comp2177_c0_seq1	GO:0010181, GO:0045892, GO:0016491, GO:0055114, GO:0005886
comp2179_c0_seq1	GO:0005634, GO:0003723, GO:0016020, GO:0004652, GO:0006378
comp2181_c0_seq1	GO:0004722, GO:0008287, GO:0006470
comp2182_c0_seq1	GO:0004842, GO:0005515, GO:0016874, GO:0016567
comp2183_c0_seq1	GO:0015992, GO:0006120, GO:0009055, GO:0008137, GO:0009853, GO:0009630, GO:0006744, GO:0080129, GO:0006511, GO:0006979, GO:0006814, GO:0005747, GO:0009507, GO:0006118, GO:0051536, GO:0051788
comp2184_c0_seq1	GO:0005623, GO:0016746, GO:0047134, GO:0045454, GO:0055114, GO:0048868
comp2186_c0_seq1	GO:0009570, GO:0006094, GO:0009651, GO:1901671, GO:0006096, GO:0009941, GO:0006457, GO:0009658, GO:0009535, GO:0005524, GO:0005507, GO:0005739, GO:0048046, GO:0019344, GO:0019288, GO:0048481
comp2187_c0_seq1	GO:0019904
comp2188_c0_seq1	GO:0009086, GO:0005783, GO:0005794, GO:0008168, GO:0008398, GO:0005886, GO:0020037, GO:0000394, GO:0005506, GO:0016021, GO:0055114, GO:0070988, GO:0016126, GO:0019745, GO:0032259
comp2193_c0_seq1	GO:0005739, GO:0006508, GO:0004252, GO:0005829, GO:0010048, GO:0070008
comp2194_c0_seq1	GO:0005524, GO:0016055, GO:0009069, GO:0004674, GO:0018105
comp2196_c0_seq1	GO:0005515, GO:0016310, GO:0016301
comp2197_c0_seq1	GO:0000166, GO:0003676
comp2200_c0_seq1	GO:0006396
comp2201_c0_seq1	GO:0008287, GO:0008022, GO:0016591, GO:0070940, GO:0008420
comp2203_c0_seq1	GO:0009570, GO:0000166, GO:0003676, GO:0009941, GO:0019288, GO:0045036, GO:0009773, GO:0005840, GO:0009535
comp2204_c0_seq1	
comp2206_c0_seq1	GO:0000243, GO:0008270, GO:0000395, GO:0030627, GO:0030619, GO:0019013, GO:0003729, GO:0071004, GO:0005685, GO:0000387
comp2207_c0_seq1	GO:0016021, GO:0015979, GO:0009538, GO:0009535
comp2211_c0_seq1	GO:0009579
comp2213_c0_seq1	GO:0006406, GO:0005634, GO:0050832, GO:0010267
comp2214_c0_seq1	GO:0016740
comp2216_c0_seq1	GO:0003779, GO:0030042, GO:0015629
comp2217_c0_seq1	GO:0009651, GO:0015991, GO:0007033, GO:0000902, GO:0007030, GO:0006486, GO:0005794, GO:0046961, GO:0000325, GO:0006623, GO:0005886, GO:0020037, GO:0000221, GO:0009507, GO:0006119, GO:0006816, GO:0016049, GO:0048193
comp2218_c0_seq1	GO:0000166, GO:0005634, GO:0003723, GO:0046872
comp2219_c0_seq1	GO:0005777, GO:0008152, GO:0005886, GO:0016798
comp2221_c0_seq1	GO:0005524, GO:0008353, GO:0009069, GO:0006468
comp2222_c0_seq1	GO:0046916, GO:0046914, GO:0005737, GO:0030001
comp2223_c0_seq1	
comp2225_c0_seq1	GO:0016887, GO:0005524, GO:0003777, GO:0045298, GO:0005871, GO:0007018, GO:0008017, GO:0005874
comp2226_c0_seq1	
comp2230_c0_seq1	GO:0000166, GO:0003676, GO:0016021
comp2231_c0_seq1	GO:0005524, GO:0009507, GO:0008270, GO:0006228, GO:0006206, GO:0006241, GO:0006183, GO:0005739, GO:0006165, GO:0004550, GO:0006144
comp2232_c0_seq1	GO:0009570, GO:0003735, GO:0009941, GO:0019288, GO:0042254, GO:0015934, GO:0006412
comp2235_c0_seq1	GO:0009298, GO:0006000, GO:0006012, GO:0008446
comp2237_c0_seq1	GO:0030170, GO:0009094, GO:0080130, GO:0006560, GO:0009693, GO:0004069, GO:0009735, GO:0006103, GO:0006522, GO:0006536, GO:0006635, GO:0009407, GO:0000162, GO:0051788, GO:0042802, GO:0006571, GO:0006531, GO:0048767, GO:0006099, GO:0006534, GO:0080129, GO:0009821, GO:0005777, GO:0043161, GO:0006107, GO:0006525, GO:0016020, GO:0015976
comp2238_c0_seq1	GO:0005524, GO:0007165, GO:0005739, GO:0016021, GO:0009069, GO:0004674, GO:0006468
comp2242_c0_seq1	GO:0008270, GO:0006888, GO:0006886, GO:0030127
comp2243_c0_seq1	GO:0009409, GO:0009908, GO:0010218, GO:0030154, GO:0006355, GO:0042542, GO:0048578, GO:0009637, GO:0005982, GO:0010378, GO:0005654
comp2244_c0_seq1	GO:0003677, GO:0005634, GO:0003700, GO:0009506, GO:0045893, GO:0006355, GO:0043687
comp2246_c0_seq1	GO:0005634, GO:0004842, GO:0005515, GO:0031463, GO:0010114, GO:0016567
comp2247_c0_seq1	GO:0005525, GO:0001510, GO:0010077, GO:0009506, GO:0045892, GO:0048444, GO:0003924, GO:0042254, GO:0005730
comp2248_c0_seq1	GO:0000243, GO:0000395, GO:0005515, GO:0030627, GO:0071004, GO:0005685
comp2249_c0_seq1	GO:0051087
comp2250_c0_seq1	GO:0005886
comp2251_c0_seq1	GO:0001510, GO:0009507, GO:0003735, GO:0022627, GO:0005618, GO:0042254, GO:0005794, GO:0005730, GO:0070181, GO:0006412
comp2252_c0_seq1	GO:0000166, GO:0005634, GO:0003723, GO:0006397
comp2253_c0_seq1	GO:0006570, GO:0004439, GO:0004725, GO:0006470, GO:0008138
comp2254_c0_seq1	GO:0005488
comp2256_c0_seq1	GO:0016021
comp2257_c0_seq1	GO:0008250, GO:0005794, GO:0006364, GO:0005774, GO:0009505, GO:0005886, GO:0004579, GO:0009506, GO:0005739, GO:0016021, GO:0031410, GO:0030244, GO:0018279
comp2260_c0_seq1	GO:0016021, GO:0031410, GO:0016126, GO:0030797, GO:0032259
comp2261_c0_seq1	GO:0046872, GO:0031409, GO:0009523, GO:0009941, GO:0016021, GO:0009522, GO:0018298, GO:0016168, GO:0010287, GO:0009416, GO:0009768, GO:0009535
comp2262_c0_seq1	GO:0043086, GO:0004857
comp2263_c0_seq1	GO:0003735, GO:0042254, GO:0005762, GO:0006412
comp2264_c0_seq1	GO:0009617
comp2266_c0_seq1	GO:0005488
comp2268_c0_seq1	GO:0000463, GO:0008650, GO:0019243, GO:0005730, GO:0000466, GO:0030687, GO:0016435, GO:0000453
comp2269_c0_seq1	GO:0009987
comp2270_c0_seq1	GO:0008270, GO:0006888, GO:0006886, GO:0030127
comp2273_c0_seq1	GO:0019904
comp2274_c0_seq1	GO:0016021
comp2275_c0_seq1	GO:0005618, GO:0006508, GO:0004252, GO:0031410
comp2276_c0_seq1	GO:0006508, GO:0008234
comp2277_c0_seq1	GO:0008150
comp2278_c0_seq1	GO:0008150, GO:0005739, GO:0006007
comp2280_c0_seq1	GO:0005634
comp2281_c0_seq1	GO:0005524, GO:0042626, GO:0055085, GO:0008152, GO:0016021, GO:0006820, GO:0005886
comp2282_c0_seq1	GO:0000166, GO:0005634, GO:0010494, GO:0034605, GO:0008143, GO:0005739, GO:0010048
comp2283_c0_seq1	GO:0004820, GO:0005524, GO:0006426, GO:0006563, GO:0009345, GO:0006544, GO:0006566
comp2284_c0_seq1	GO:0003735, GO:0016021, GO:0042254, GO:0022625, GO:0070180, GO:0006412
comp2285_c0_seq1	GO:0005634
comp2286_c0_seq1	GO:0005887, GO:0015992, GO:0032440, GO:0005351, GO:0046323, GO:0055114, GO:0005355, GO:1904659
comp2287_c0_seq1	GO:0005515
comp2288_c0_seq1	GO:0005524, GO:0005739
comp2289_c0_seq1	GO:0016192, GO:0030130, GO:0030132, GO:0005198, GO:0006886
comp2290_c0_seq1	GO:0000287, GO:0005986, GO:0050307, GO:0016311, GO:0005982
comp2291_c0_seq1	GO:0003735, GO:0022625, GO:0000027, GO:1902626, GO:0006412
comp2293_c0_seq1	GO:0006470, GO:1901576, GO:0019203, GO:0044763, GO:0007623, GO:0044249, GO:0044711, GO:0005982, GO:0009536, GO:0008138, GO:0044723
comp2294_c0_seq1	GO:0003723, GO:0005515
